"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.imageIDs"	"Answer.imageCategories"	"Answer.stateRatings"	"Answer.probsSad"	"Answer.probsDisgusted"	"Answer.probsAngry"	"Answer.probsNeutral"	"Answer.probsContent"	"Answer.probsHappy"	"Answer.probsExcited"	"Answer.orders"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"33OOO72IVHMM1DP3TWIP237MRX3TC9"	1	"Approved"	"Wed Dec 17 23:07:06 PST 2014"	"Wed Dec 17 06:24:13 PST 2014"	"Wed Dec 17 06:27:06 PST 2014"	"Wed Dec 17 23:11:44 PST 2014"	""	""	""	""	"1"	"[5,6,3,7,9,4,2,1,8]"	"[""ok"",""ok"",""amazing"",""terrible"",""terrible"",""ok"",""amazing"",""amazing"",""terrible""]"	"[""4"",""3"",""5"",""2"",""1"",""3"",""5"",""4"",""2""]"	"[0.29,0.1,0.01,0.48,0.49,0.51,0,0,0.37]"	"[0.12,0.31,0,0.74,0.62,0.1,0,0,0.29]"	"[0,0.02,0,0.36,0.64,0.19,0.69,0.02,0.2]"	"[0.46,0.83,0.09,0.65,0.74,0.69,0.41,0.25,0.53]"	"[0.73,0.77,0.49,0.09,0.45,0.61,0,0.62,0.54]"	"[0.74,0.63,0.84,0.29,0.53,0.61,0.64,0.81,0.14]"	"[0.36,0.33,0.84,0.62,0.16,0.21,0.43,0.57,0.27]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""25"""	"""6"""	"""english"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3DI28L7YXAF0PRX8N44AMLOUKQQ1E2"	2	"Approved"	"Wed Dec 17 23:07:42 PST 2014"	"Wed Dec 17 06:24:45 PST 2014"	"Wed Dec 17 06:27:42 PST 2014"	"Wed Dec 17 23:11:44 PST 2014"	""	""	""	""	"1"	"[7,8,3,4,6,9,1,5,2]"	"[""terrible"",""terrible"",""amazing"",""ok"",""ok"",""terrible"",""amazing"",""ok"",""amazing""]"	"[""2"",""4"",""5"",""3"",""4"",""2"",""5"",""4"",""5""]"	"[0.55,0.03,0.01,0.02,0.02,0.82,0.07,0,0.03]"	"[0.27,0.03,0,0.06,0.02,0.17,0.01,0.02,0.02]"	"[0.75,0.09,0.02,0.31,0.04,0.48,0.01,0.05,0]"	"[0.31,0.27,0.01,0.71,0.31,0.23,0.38,0.29,0.23]"	"[0.04,0.64,0.87,0.58,0.86,0.13,0.88,0.68,0.94]"	"[0.05,0.58,0.93,0.68,0.83,0.13,0.9,0.8,0.96]"	"[0.25,0.51,0.97,0.49,0.42,0.17,0.8,0.44,0.88]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""6"""	"""English"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3J2UYBXQQLDW5NJBL3HCWSD7Y0V60I"	3	"Approved"	"Wed Dec 17 23:07:50 PST 2014"	"Wed Dec 17 06:24:41 PST 2014"	"Wed Dec 17 06:27:50 PST 2014"	"Wed Dec 17 23:11:44 PST 2014"	""	""	""	""	"1"	"[3,6,4,8,2,5,1,7,9]"	"[""amazing"",""ok"",""ok"",""terrible"",""amazing"",""ok"",""amazing"",""terrible"",""terrible""]"	"[""5"",""4"",""3"",""2"",""5"",""4"",""5"",""1"",""1""]"	"[0.06,0.14,0.06,0.31,0.04,0,0.04,0.37,0.54]"	"[0.04,0,0,0,0.02,0.01,0.02,0.19,0.28]"	"[0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.17,0.2]"	"[0.57,0.47,0.36,0.48,0.16,0.21,0.31,0.19,0.04]"	"[0.79,0.48,0.44,0.48,0.47,0.13,0.26,0.22,0.06]"	"[0.84,0.67,0.65,0.52,0.59,0.64,0.65,0.24,0.46]"	"[0.69,0.47,0.17,0.11,0.78,0.52,0.55,0.12,0.24]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""25"""	"""4"""	"""English"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"340UGXU9DY2X0ZASKI34XRHDVIQVU1"	4	"Approved"	"Wed Dec 17 23:08:04 PST 2014"	"Wed Dec 17 06:24:20 PST 2014"	"Wed Dec 17 06:28:04 PST 2014"	"Wed Dec 17 23:11:44 PST 2014"	""	""	""	""	"1"	"[7,6,4,5,9,1,2,8,3]"	"[""terrible"",""ok"",""ok"",""ok"",""terrible"",""amazing"",""amazing"",""terrible"",""amazing""]"	"[""1"",""4"",""4"",""4"",""1"",""5"",""5"",""3"",""5""]"	"[0.84,0.12,0.1,0.04,0.71,0.04,0.1,0.57,0.02]"	"[0.71,0.05,0.1,0.06,0.78,0.03,0.03,0.4,0.01]"	"[0.47,0.11,0.04,0.12,0.83,0.03,0.02,0.34,0.02]"	"[0.16,0.19,0.53,0.51,0.18,0.17,0.17,0.86,0.2]"	"[0.98,0.98,0.92,0.92,0.25,0.96,0.89,0.52,0.95]"	"[0.03,0.81,0.62,0.82,0.08,0.94,0.87,0.29,0.97]"	"[0.21,0.75,0.76,0.75,0.25,0.96,0.73,0.35,0.97]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""45"""	"""11"""	"""english"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3LRKMWOKB5I5P7602VI1CEZH02C2ZP"	5	"Approved"	"Wed Dec 17 23:08:14 PST 2014"	"Wed Dec 17 06:24:29 PST 2014"	"Wed Dec 17 06:28:14 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[9,5,6,4,1,3,8,2,7]"	"[""terrible"",""ok"",""ok"",""ok"",""amazing"",""amazing"",""terrible"",""amazing"",""terrible""]"	"[""1"",""5"",""4"",""3"",""5"",""5"",""2"",""5"",""1""]"	"[0.86,0.02,0,0.49,0,0,0.67,0,0.99]"	"[0.86,0.02,0.01,0.49,0,0,0.67,0,1]"	"[0.85,0.01,0.01,0.49,0.01,0,0.66,0,0.99]"	"[0.18,0.49,0.45,0.51,0.52,0.51,0.51,0.52,0.02]"	"[0.07,0.98,1,0.48,1,1,0.27,1,0]"	"[0.1,1,1,0.48,1,1,0.12,1,0.01]"	"[0.49,0.88,0.45,0.49,0.88,1,0.67,1,0.71]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""4"""	"""English"""	"""Thanks"""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3QY5DC2MXRL842O2K3Y0F5ER7O2FUX"	6	"Approved"	"Wed Dec 17 23:08:53 PST 2014"	"Wed Dec 17 06:24:22 PST 2014"	"Wed Dec 17 06:28:53 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[5,8,1,3,6,7,9,4,2]"	"[""ok"",""terrible"",""amazing"",""amazing"",""ok"",""terrible"",""terrible"",""ok"",""amazing""]"	"[""4"",""2"",""5"",""5"",""4"",""1"",""2"",""4"",""5""]"	"[0.02,0.08,0.04,0.02,0.06,0.25,0.07,0.11,0]"	"[0.01,0.05,0.02,0.02,0.02,0.44,0.06,0.07,0.02]"	"[0,0.04,0.02,0.02,0.04,0.21,0.07,0.08,0.01]"	"[0.48,0.28,0.4,0.17,0.43,0.45,0.45,0.42,0.03]"	"[0.76,0.77,0.96,0.97,0.96,0.44,0.62,0.76,0.98]"	"[0.8,0.52,0.97,0.98,0.93,0.09,0.46,0.77,0.99]"	"[0.62,0.24,0.96,0.98,0.87,0.22,null,0.84,0.98]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""17"""	"""6"""	"""English"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3KRVW3HTZNMYVZOFHL7DVUGCJSSSM0"	7	"Approved"	"Wed Dec 17 23:09:06 PST 2014"	"Wed Dec 17 06:24:33 PST 2014"	"Wed Dec 17 06:29:06 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[8,5,1,3,2,4,9,6,7]"	"[""terrible"",""ok"",""amazing"",""amazing"",""amazing"",""ok"",""terrible"",""ok"",""terrible""]"	"[""2"",""4"",""4"",""5"",""4"",""3"",""2"",""3"",""1""]"	"[0.54,0.28,0.3,0.11,0.16,0.43,0.45,0.24,0.62]"	"[0.11,0.06,0.14,0.02,0.07,0.08,0.18,0.05,0.19]"	"[0.52,0.28,0.29,0.24,0.24,0.37,0.48,0.28,0.64]"	"[0.54,0.41,0.39,0.4,0.41,0.57,0.44,0.45,0.22]"	"[0.35,0.52,0.51,0.77,0.64,0.4,0.35,0.47,0.21]"	"[0.35,0.53,0.54,0.81,0.64,0.35,0.38,0.45,0.25]"	"[0.25,0.53,0.53,0.78,0.63,0.3,0.32,0.47,0.24]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""4"""	"""English"""	"""no"""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"37WLF8U1WPRYIDQFPWRUFCSGCY16KO"	8	"Approved"	"Wed Dec 17 23:09:24 PST 2014"	"Wed Dec 17 06:26:32 PST 2014"	"Wed Dec 17 06:29:24 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[5,6,4,3,8,7,1,9,2]"	"[""ok"",""ok"",""ok"",""amazing"",""terrible"",""terrible"",""amazing"",""terrible"",""amazing""]"	"[""4"",""5"",""3"",""5"",""2"",""1"",""5"",""1"",""5""]"	"[0.25,0.28,0.47,0.3,0.68,0.58,0.36,0.83,0.18]"	"[0.25,0.26,0.26,0.36,0.32,0.29,0.34,0.52,0.31]"	"[0.24,0.29,0.23,0.32,0.53,0.67,0.35,0.73,0.39]"	"[0.21,0.51,0.68,0.34,0.37,0.44,0.46,0.32,0.31]"	"[0.52,0.6,0.67,0.56,0.35,0.3,0.64,0.28,0.63]"	"[0.7,0.72,0.52,0.84,0.43,0.32,0.65,0.33,0.67]"	"[0.7,0.61,0.36,0.75,0.28,0.37,0.68,0.27,0.68]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""55"""	"""11"""	"""english"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3X31TUMD7XNEVX704QREZGEETNQL18"	9	"Approved"	"Wed Dec 17 23:09:28 PST 2014"	"Wed Dec 17 06:24:30 PST 2014"	"Wed Dec 17 06:29:28 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[8,3,7,1,6,4,9,5,2]"	"[""terrible"",""amazing"",""terrible"",""amazing"",""ok"",""ok"",""terrible"",""ok"",""amazing""]"	"[""4"",""5"",""2"",""5"",""4"",""3"",""1"",""3"",""5""]"	"[0.5,0.17,0.35,0.1,0.08,0.08,0.63,0.08,0.02]"	"[0.2,0.05,0.5,0.07,0.06,0.34,0.54,0.21,0.22]"	"[0.06,0.09,0.16,0.06,0.03,0.04,0.27,0.08,0.04]"	"[0.51,0.1,0.56,0.1,0.33,0.53,0.31,0.66,0.12]"	"[0.82,0.83,0.29,0.51,0.57,0.48,0.21,0.29,0.42]"	"[0.25,0.96,0.31,0.73,0.63,0.45,0.16,0.26,0.85]"	"[0.32,0.74,0.41,0.39,0.22,0.19,0.2,0.09,0.78]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"3EXOM20K1NAKD7Y70VMCFJXIPAC5PL"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.80"	"Wed Dec 17 06:21:49 PST 2014"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Fri Dec 19 15:23:54 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3NC6WP7WJHLKK819EQI0CXQ1XQHWWO"	"39O5D9O87TTH2WR9EHCYKQ3OXYQC3B"	10	"Approved"	"Wed Dec 17 23:11:05 PST 2014"	"Wed Dec 17 06:28:16 PST 2014"	"Wed Dec 17 06:31:05 PST 2014"	"Wed Dec 17 23:11:45 PST 2014"	""	""	""	""	"1"	"[7,1,4,9,5,6,3,2,8]"	"[""terrible"",""amazing"",""ok"",""terrible"",""ok"",""ok"",""amazing"",""amazing"",""terrible""]"	"[""2"",""5"",""3"",""2"",""4"",""4"",""5"",""5"",""2""]"	"[0.4,0.65,0.22,0.31,0.08,0.14,0.14,0.1,0.52]"	"[0.06,0.02,0.07,0.52,0.09,0.05,0.03,0.02,0.31]"	"[0.29,0.17,0.22,0.16,0.1,0.1,0.08,0.05,0.21]"	"[0.19,0.55,0.86,0.45,0.75,0.46,0.38,0.52,0.38]"	"[0.41,0.79,0.48,0.23,0.58,0.53,0.63,0.7,0.24]"	"[0.26,0.77,0.22,0.08,0.11,0.37,0.68,0.78,0.07]"	"[0.61,0.65,0.19,0.25,0.23,0.65,0.77,0.77,0.08]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""6"""	"""english"""	""""""
